Row Labels,Sum of value
Nk.  Tariq  Mehmood  SSG President,19500
"Mian      Muhammad Shehbaz        Sharif, Chief          Minister,
Punjab",19500
"Hav.    Hakim    Badshah, SSG President Secretariat",19500
"Hav.    M.    Anwar,    SSG President Secretariat",19500
"President   of   Pakistan,
General              Pervaiz Musharraf",19000
"Mr.    Murad    Ashraf Janjua,     Chief     of
State Protocol",19000
"General        Parvez         Musharraf, President/     Chief     Executive     of
Pakistan",18700
"Mohib  Ali  Phulpoto, PS   to   Minister   for Labour  Manpower  & Overseas Pakistanis",18550
"Syed  Javid  Hussain
Kazmi,   cameraman PTV news",18500
Mr.        Muhammad Younis,18500
"Mr.  Muhammad  Hassan, PS to Prime Minister",18100
Shah         Mehmood,18000
"Sqd.   Ld.   Anwar   Karim, ADC to the Prime Minister",18000
"Sheikh   Rasheed   Ahmed
Minster  for  information  & Broadcasting",18000
"Syed Afzal Hussain Shah, Protocol  Officer,  Foreign
Affairs",18000
Secretary     Ministry     of,18000
"Munir  Ahmed  Caretaker, Prime Minister Sectt.",18000
"Nazir     Ahmed     Saeed, Protocol  Assistant  Prime
Minister Sectt.",18000
"Mr.   Shaukat   Fayaz Ahmed            Tarin, Minister for Finance, Revenue,    EA    and
Statistics",18000
"Mr. Javed Iqbal Qureshi, Chief  News  Editor,  Urdu
Service, APPC, Islamabad",18000
"Mr. Farooq Habib, AVM Officer of PAF,",18000
"Mr.  Nazir  Hussain,  Chief of Protocol, Prime Minister
Sectt.",18000
"Mr. M. Riaz, Constable",18000
"Mr.  Sohail  Nasir,  Photo- Editor, APPC, Islamabad",18000
"Mr.   Muhammad   Younas Khan,  Chief  Cameraman,
PTV",18000
"Mr.    Zafar    Iqbal,    SSG Gunman  Prime  Ministers
Secretariat",18000
"Mr.    Muzammil    Ahmed Khan,     Controller     PTV
News, Islamabad",18000
"Mr.     Rafaqat     Hussain, Engineer PTV",18000
"Mr.   Khalid   Aziz   Babar, Acting  Secretary  Foreign Affairs",18000
"Mr.      Abdul      Hameed.
Controller  News  reporter, PBC",18000
"Mr.      Sartaj      Aziz, Advisor  to  the  Prime
Minister",18000
"Mr.     Aurangzeb     Khan, Comptroller      Household
Prime Minister Sectt.",18000
"Mr.        Malik        Arshad Mahmood,                sub.
Inspector,          Gunman,
Prime                Minister’s
Secretariat",18000
"Mr.       Adnan       A.
Khawaja,  Chairman, NAVTEC",18000
"Mian              Raza
Rabbani, Chairman Senate",18000
"Inspector, Khalid Nadeem Khan, Gunman",18000
"M.  Aejaz,  Additional Secretary (Afghanistan,
Iran,Turkey)",18000
"Major    Gul    Muhammad Saqib,     OSD     (Admn), Prime Minister Sectt.",18000
"First       Lady       of
Pakistan, wife of Dr. Arif Alvi",18000
"Dr.   Asif   Irfan,   Medical
Officer,    Prime    Minister Sectt.",18000
"Foreign      Secretary, Mr. Sohail Mehmood",18000
"Haji   Tora   Khan,   Valet Prime Minister Sectt.",18000
"Ali Imran, Reporter, APP",18000
Auditor General of Pakistan,18000
"Mr.      Jahangir      Khan, Tareen,      Minister      for Industries,       Production and Special Initiatives",17110
"The      first      lady      of
Pakistan, wife of Dr. Arif Alvi",17000
"Syed   Tariq   Fatemi, SAPM",17000
"Mian Mohammad Soomro,
Caretaker  Prime  Minister of Pakistan",17000
"Haji     Tora     Khan, Valet,             Prime
Minister Secretariat",16797
"Mr.   Muhammad   Nawaz
Sharif, Prime Minister of Pakistan",16500
"Mr.   Khurshid   M.   Kasuri, Foreign Minister of Pakistan",16500
"Dr.   Tariq   Hassan,
Advisor      to      the Finance Minister",16200
"Syeda  Fiza  Batool  Gilani,
Daughter of Prime Minister Syed Yousaf Raza Gillani",16000
"Mr.    Sohail    Mehmood,",16000
"Mr.      Sartaj      Aziz, Advisor    to    PM    on National Security and
Foreign Affairs",16000
Admiral   Asaf   Humayun SI(M) DG MTC,16000
"Begum Prime Minister of Pakistan,   Wife   of   Mr. Muhammad          Nawaz
Sharif",16000
"Dr.  Shahbaz  Gill,  SAPM on                      Political
Communication",15600
"For  Begum  sahiba  of  Mr. Shaukat       Aziz,       Prime Minister of Pakistan",15500
Ehtisham-ul-Haq Dawn,15200
Sep.   Asif   Riaz   Security Guard,15000
"Wife    of    Admiral    M.
Zakaullah,     Chief     of Naval Staff",15000
"Syed       Abbas       Ahsan, Superintendent  Police,  SP,
Islamabad Police",15000
"The      first      lady      of Pakistan, wife of Dr. Arif,
Alvi",15000
"Syed Afzal Shah, Protocol Officer, Foreign Affairs",15000
"Sep.     Imran     Mushtaq, Security Guard",15000
"SAPM for National Health Services,  Regulations  &
Coordination",15000
"Mr. Muhammad Adil, Deputy     Chief     of
Protocol",15000
"Mr. Muhammad Tufail Qazi, Protocol    Officer,    Foreign Affairs",15000
"Mr.  Javed  Sadiq  Malik, Principal   Secretary   to the Prime Minster",15000
"Mr. Abdul Shaifq, Director General  (Imp),  President
Sectt.",15000
"Mr.  Qasim  Khan,  Protocol Officer, Foreign Affairs",15000
"Mr.   Shaukat   Aziz,   Prime Minister of Pakistan
Begum Prime Minister",15000
"Mr.  Fazal  Abbas  Maken, Additional       Secretary, M/o Commerce",15000
"Mr.  Muhammad  Nawaz Sharif, Prime Minister",15000
"Mr.   Kalim   A   Siddiqui, Executive          Director (Customer      Services),
PSO",15000
"Mr.   Ghalib   Iqbal,   Chief
Protocol,     M/o     Foreign Affairs",15000
Mr.   Ali   Imran   Reporter APP,15000
"Mr.    Sohail    Mahmood, Additional       Secretary,
Ministry      of      Foreign Affairs",15000
"Mr.   M.   Arshad   Saleem, News Reporter PTV",15000
"Mr.     M.     Akram     Malik, Secretary, Economic Affairs Division",15000
"Mr.                  Sanaullah, Cameraman",15000
"Mr.       Abdul       Wahid, photographer,    President",15000
"Mr.        Salim        Ibrahim, Assistant   Protocol   Officer, Foreign Affairs",15000
"Mr.     Ehsanullah,     LDC President Sectt.",15000
"Mr.       Afzal       Tanveer, Engineer",15000
"Lt.     Col.     Muhammad Haroon,       DMS       to
President",15000
"Minister   for   Food   and Agriculture,
Mr.  Sikandar  Hayat  Khan Bosan",15000
L/NK    Daudur    Rehman Security guard,15000
"Maj.   Abdul   Basit,   Staff Surgeon to Chief of Army Staff",15000
"Minister  for  Food,  Agri. & Livestock",15000
Maj.   Gen.   (R)   Mian Abdul Qayoom,15000
"Maj.     Sher     Ali     Baz, Security Officer",15000
L/NK Zahoor Ahmed valet,15000
"Minister  of  State  for Foreign           Affairs, Nawabzada        Malik
Amad Khan",15000
"Mian Mohammad Soomro, Caretaker  Prime  Minister of Pakistan",15000
"Makhdoom     Shah Mehmnood Qureshi,     Foreign
Minister",15000
"Lt.  Col.  M.  Samrez  Salik, APS(C)",15000
"Lt.    Col.    Muhammad Haroon,       DMS       to President",15000
Hav. Tariq Mehmood,15000
"Lt.    Col.    Asim    Saleem Bajwa,    Deputy    Military Secretary   to   the   Prime
Minister",15000
Hav. Hakim Badshah,15000
"For Begum sahiba of
Mr.   Shaukat   Aziz,   Prime Minister of Pakistan",15000
"Director    Marketing    &
Procurement, HIT",15000
Faqir   Ahmed   Controller news PBC,15000
"Foreign   Minister   of Pakistan,          Shah Mehmood Qureshi",15000
"Begum     of     Prime Minister,               Mr.
Muhammad      Nawaz Sharif",15000
"Col.      Baber      Mumtaz,
Additional Security Officer to President",15000
"Chairman        HITB, Taxila",15000
"Admiral    (Retd.)    Abdul Aziz   Mirza,   Ambassador of Pakistan",15000
"General        Parvez         Musharraf,
President/     Chief     Executive     of Pakistan",14700
"Dr.  Atta-ur-  Rehman,  Minister  for Science & Technology",14650
"Brig.   Syed   Muhammad Adnan, Military Secretary to    the    President    of Pakistan    (MS    to    the
President)",14617
"Mian Mohammad Soomro, Caretaker  Prime  Minister
of Pakistan",14500
"Seema  Ilahi  Baloch, Deputy     Chief     of
Protocol,       Foreign Affairs",14000
Sep.   Ajmal   Khan   SSG President Secretariat,14000
Mr. M. Pervez Valet,14000
"Mr.  Muhammad   Nawaz
Sharif, Prime Minister of Pakistan",14000
"Mr.  M.  Fayyaz  Chaudhry, Foreign      Editor,      APP, Islamabad",14000
"Mr.    Rizwan    Bashir Khan,         Additional Secretary     M/o     of Planning                 &
Development",14000
"Mr.     Rafaqat     Hussain,",14000
"Mr.   M.   Akram,   Nursing Assistant",14000
"Mr.      Khalid      Nadeem, Inspector, Gunman",14000
"Mr.       Hassan       Syed, Reporter PTV",14000
"Lt   Col.   Babar   Mumtaz,
Additional,  Chief  Security Officer to the President",14000
"Major    Arif   Aziz    Khan, Security officer",14000
"Dr.     Abdul     Hafeez Sheikh,   Minister   for Finance,       Revenue, Economic  Affairs  and Statistics",14000
"H/C Gulfraz Ali, Gunman",14000
"Hav.  Abdul  Ghaffar,  SSG Gunman",14000
"Col.    Muhammad    Ilyas, Chief  Security  Officer  to
President",14000
R/Admiral                 Asaf Humanyun SI (M),13500
"Mr. Farukh Akhtar Jamil, Additional        Secretary,
Foreign Affairs",13500
"Mr.  Usman  Aminuddin,  Minister  for Petroleum & Natural Resources",13000
"Maj Saad Zafar, Asst
Security   Officer   to Prime Minister",13000
"Mazhoor  Ali  Ghauri, CSO       to       Prime
Minister",13000
"Irfan Ashraf Qazi, PRO       to       Prime
Minister",13000
"Mian   Abdus   Sattar Laleka,  Minister  for Labour, Manpower &
Overseas Pakistanis",13000
"Maj. Imran, SO (P)",13000
"Federal     Minister     for
Economic    Affairs,    Mr. Omar Ayub Khan",13000
"Cdr  Khurram  Javed,
ADC       to       Prime Minister",13000
"Syed   Muhammad   Ilyas
information  officer  to  the prime minister",12900
"Mr.      Muhammad      Ali Babakhel,
Security  Officer  to  Prime Minister",12900
Foreign Minister,12700
"Mr.  Imran  Mehmood, Chief  Security  Officer to     Prime     Minister
(CSO to PM)",12000
Maj   Jahan   Dad   Khan CSO(P),12000
"Brig Muhammad Ahmed, Military  Secretary  to  the Prime Minister",12000
"Mr.  Altaf  M.  Saleem,  Minister  for Privatization Commission",11800
"Mohsin     Hassan     Butt, Chief  Security  Officer  to Prime Minister",11700
"Mr.     Omer     Ayub
Khan,   Minister   for Energy",11500
Brig.  Irfan  Azam  MS  to Prime Minister,11500
"Mr.       Inam-ul-Haque,       Foreign Secretary, M/o Foreign Affairs",11300
"Ms.  Tayyaba  Ali,  Section  Officer, Cabinet division",11000
"Mr.  M.  Ali,  PSO  To
the Prime Minister",11000
Attorney    General    for Pakistan,11000
"Wg   Cdr   Waqar   Ahmed,
Deputy Military  Secretary to Prime Minister",10900
"Mr. Zamir Akram
Additional          Secretary Prime Minister Sectt.",10900
"Ms.  Mahreen  Aziz  Khan
Media   Advisor   to   Prime Minister",10900
"Miss  Hina  Rabbani  Khar, Minister    of    State    for Economic Affairs",10900
"Maj. Sajjad Hussain, ADC to Prime Minister",10900
"Brig.    Azhar    Mehmood Kiani,     PP     to     Prime
Minister",10900
Chairman NAB,10500
"SP   Rana   Shoaib Mehmood  Security Office to the Prime
Minister",10000
"Sqn. Ldr. Malik Jalal Farooq, ADC (Air) to
the President",10000
"Shahid  Ali  Baig,  Additional Accountant     General     of
Pakistan",10000
"Secretary,            PD&SI
“Planning,   Development & Special Initiative”",10000
"Sep.   Gul   Zameen   Khan, Gunman, SSG",10000
"Shah         Mehmood
Hussain       Qureshi, Foreign   Minister   of",10000
"Syed  Sharif  uddin  Pirzada, Senior Advisor to the Prime Minister",10000
"Sep.   Asif   Riaz,   Gunman, SSG",10000
"Syed    Nayyar    Hussain
Bukhari,          Chairman Senate.",10000
"Sahebzada         A. Khan,     Additional Secretary   /   Chief of  State  Protocol,
MoFA",10000
"Mr. Pervaiz Zahoor, Chief Security   Officer   to   the Prime Minister",10000
"NK,   Sahib   Khan,   SSG Gunman",10000
"Mrs.      Tariq      Fatemi, SAPM, wife of Syed Tariq
Fatemi",10000
"Raja   M.   Zafar   ul Haq,  Leader  of  the
opposition senate",10000
"Mr.  Javed  Khan  Jadoon, Deputy,  Controller  News, PBC, Islamabad",10000
"Mr. M. Hassan, PS to the Prime Minister",10000
"Mr. Amjad Aziz Qazi,
Dy Chief of Protocol Foreign Affairs",10000
"Mr.  Ghalib  Iqbal,  Chief  of Protocol, Foreign Affairs",10000
"Mr. Ghulam Ali, Valet",10000
"Mr.   Nabeel   Afzal
Bajwa, PSO to the Prime Minister",10000
"Mr.   Farhatullah   Baber, Spokesperson     to     the
President",10000
"Mr.    Nazar    Gondal, Minister   for   Food   & Agriculture",10000
"Mr.     Shahzad     Hussain
LDC,      Prime      Minister Sectt.",10000
"Mr.   Abdul   Ghafoor   A. Memon,   Director,   Public Relation, PID, Karachi",10000
"Mr.    Ghalib    Iqbal, Chief    of    Protocol
Foreign Affairs",10000
"Mr.   Farhatullah   Babar, Spokes   Person   to   the President of Pakistan.",10000
"Mr.    Adeel    Ahmad Khan,          Protocol
Officer,         Foreign Affairs",10000
"Mr.    Muhammad    Waqas LDC, PM Sectt.",10000
"Mr.       Sajjad       Kamran, Additional   Secretary,   AP, M/o Foreign Affairs",10000
"Mr.      Sartaj      Aziz, Advisor  to  the  Prime
Minister   on   Foreign Affairs",10000
"Maj.  Imran  Haider,
ADC  (Army)  to  the President",10000
"Lt.       Col       Syed Muhammad   Adnan, DMS        to        the
President",10000
"Lt.        Col.        Adil
Rehmani,  SO  (P)  to the President",10000
"Lt.      Col.      Babar Mumtaz, CSO to the
President",10000
"L/NK       Naeem       Ishaq,",10000
"Mian  Mohammad  Soomro,",10000
"Maj.  Gen.  Tassawar
Hussain,   PP(P)   to the President",10000
"Justice   Sh.   Riaz   Ahmad,   Acting President of Pakistan",10000
"Military  Secretary  to  the President,   (MS   to   the President of Pakistan)",10000
"Lt.   Gen.   M.   Zahid Latif   Mirza,   HI   (M) Commander        AAD
Comd.",10000
"Makhdum Khusro Bakhtyar,
Minister   of   State   Foreign Affairs",10000
"Justice Retd. Javed Iqbal, Chairman,      Abbottabad
Inquiry Commission",10000
"Dr.      Miftah      Ismail,
Minister      of      States Chairman BoI",10000
"Hav.      Tariq      Mahmood, Gunman SSG",10000
"Gp.  Capt.  Waqar  Ahmad, Deputy  Military  Secretary
to the Prime Minister",10000
"Hav.    Muhammad    Anwar Gunman, SSG",10000
"Flt.  Lt.  Amanullah Abbasi ADC to the
Prime Minister",10000
"Constable    Siraj    Khan, Gunman",10000
"Dir Com, Heavy Industries Taxila",10000
"Deputy Military Secretary
to the President (DMS to the President)",10000
"Brig. Qamar Zaman, PA- 25443  GHQ, DWE(P)",10000
"Brig.                Mian
Muhammad       Hilal Hussain,       Military
Secretary    to    the President, MS (P)",10000
"Ch.   Shahbaz   Hussain, Minister   for   Population
Welfare",10000
"(a)   Mr.   Muhammad Nawaz  Sharif,  Prime Minister of Pakistan
(b)     Begum     Prime Minister,  wife  of  Mr. Muhammad      Nawaz
Sharif",10000
"Capt.      (Retd.)      Abdul Majeed Niazi, PRO to  the
Prime Minister",10000
"Brig.   Tajdeed   Mumtaz,   Military Secretary to the Prime Minister",10000
"Brig.         Waseem
Iftikhar, MS to the Prime Minister",10000
"Ms.   Shabana   Rehman Deputy              Director
(Projects),       Pakistan- Baitul-Maal, Head Office,
Islamabad",9868
Lt.    Cdr    M.    Jahanzeb Ahsan PN,9700
"Unknown  (gifts  were  lying  in  the office  of  Minister  for  Foreign  Affairs
since long)",9625
"Mr. Sartaj Aziz, Advisor to the Prime Minister on Foreign Affairs",9500
"Mir  Hazar  Khan  Khoso,
Former Caretaker Prime Minister",9500
"Lt.   Col.   Syed   M.   Adnan, DMS to President",9500
"Col.    M.    Ilyas,    CSO    to President.",9500
"Dr.   Atta-ur-Rehman,   Minister   for Science & Technology",9400
"Sep.  Irfan-ul  Haq,  SSG Gunman       to       Prime
Minister",9000
"Sep.  Shahid  Ibrar,  SSG, Gunman       to       Prime
Minister",9000
Wife    of    Mr.    Shahid Khaqan Abbasi,9000
"President   of   Pakistan,
Mr. Mamnoon Hussain",9000
"Mr. Nazar Mohammad Gondal,   Minister   for Food and Agriculture",9000
"NK Nasir Mehmood, SSG
Gunman       to       Prime Minister",9000
"Mr. Shaukat Fayaz Ahmed Tarin,   Advisor   to   Prime",9000
"Raja Hasan Abbas, Secretary,      Cabinet
Division",9000
"Ms. Marriyum Aurangzeb, Minister of Information",9000
"Mr. Inam ul Haque, Foreign Minister of Pakistan",9000
"Mr.   M   Shabbir   Anwar, Press   Secretary   to   the
Prime Minister",9000
"Mr.     Salman     Faruqui, Secretary General to the
President",9000
"Lt.   Col.   Naveed   Malik, Director  Security  to  the
Prime Minister",9000
"Maj Faisal Nawaz, ADC to the Prime Minister,",9000
"Inspector Farooq Ahmed,
Police  Gunman  to  Prime Minister",9000
Makhdoom              Shah Mehmood Qureshi Foreign Affairs Minister,9000
"H/Constable  M.  Yameen
Khan,  Police  Gunman  to Prime Minister",9000
"H/Constable    M.    Riaz,
Police  Gunman  to  Prime Minister",9000
"Constable      Salahuddin,
Police  Gunman  to  Prime Minister",9000
Foreign     Secretary     of Pakistan,9000
"H/Constable   M.   Ishaq, Police  Gunman  to  Prime
Minister",9000
"Constable     M.    Saghir, Police  Gunman  to  Prime Minister",9000
"Dr. Abdul Hafeez Shaikh, Minister for Finance",9000
"Constable  Hamad  Raza, Police  Gunman  to  Prime
Minister",9000
"Constable    Faqir    Shah, Police  Gunman  to  Prime
Minister",9000
"Chairman, CDA",9000
"Brig  Nasir  Dilawar  Shah,
Military  Secretary  to  the Prime Minister",9000
"ASI     Fakhar    Maqbool, Police  Gunman  to  Prime Minister",9000
"Brig     Raja     Samiullah, Personal Physician to the Prime Minister",9000
"Mr. Shaukat Aziz, Minister for Finance",8700
"Miss.  Hina  Rabbani  Khar,
Minister    of    State    for Economic Affairs",8600
Members          Pakistani Youth Delegation,8600
"Ms.      Seema      Naqvi, Additional        Secretary",8500
"Mr. Muhammad Ali Durrani,
Minister     Information     & Broadcasting",8500
"Mr.  Sartaj  Aziz,  Advisor to PM",8500
"Mr.     Sibtain     Fazal Halim,        Secretary, Economic         Affairs
Division (EAD)",8500
"Mr.     Ghalib     Iqbal, Chief     of     Protocol,
Foreign Affairs",8500
"Mr.      Sartaj      Aziz, Advisor    to    PM    on
National   Security   & Foreign Affairs",8500
"Mr.      Sartaj      Aziz, Advisor  to  the  Prime
Minister   on   National",8500
"Minister                for
commerce",8500
"Director             General (Afghanistan),    Ministry
of Foreign Affairs",8500
"Dr.   Waqar   Masood Khan,       Secretary, EAD",8500
"General        Pervez         Musharraf, President/     Chief     Executive     of
Pakistan",8460
"Mr.      Altaf      Hussain, Chairman, MQM",8400
"Mr.  Muhammad,  OSD  to Prime Minister",8260
"Mr.  Shaukat  Aziz,  Prime",8200
"Shah  Mahmood  Hussain  Qureshi, Foreign Minister of Pakistan",8000
Sq. Ldr. Farhan Tanvir,8000
"Sq.  Ldr.  Usman  Ahmed, PAF",8000
"Waqar    Mehsood    Khan, Secretary,         Economic
Affairs Division",8000
Sq. Ldr. Tariq Hameed,8000
"The      first      lady      of Pakistan, wife of Dr. Arif
Alvi",8000
"SP.   M   Zeeshan   Raza,",8000
"Syed   Tariq   Fatemi, SAPM     on     Foreign",8000
Snr. Tech. Tassawar,8000
Shah      Mehmood,8000
"Syed   Tariq   Fatemi, SAPM     on     Foreign Affairs",8000
"Saeed             Akhtar, Protocol   Officer   (V-I
Addl), Foreign Affairs",8000
"Ms.    Shmaila    Andleeb, Reporter, APP",8000
"NK   Sabz   Ali,   Security Staff,                President",8000
"Ms.   Shazia   Sikandar, Director     International Relation, PTV",8000
"Protocol    officer,    M/o Foreign Affairs",8000
"NK.    Khai    Muhammad,
Security  Staff,  President Secretariat.",8000
"Mr.  Adeel  Ahmed  Khan, Deputy Chief of Protocol, Foreign Affairs",8000
"Mr.   Sajjad   Kamran, Director          General
(Afghanistan), Foreign Affairs",8000
"Mr.  Nabeel  Awan,  PSO to Prime Minister",8000
"Mr.  Faisal  Niaz  Tirmizi, Deputy Chief of Protocol, Foreign Affairs",8000
"Mr.  Ghulam  Sarwar Khan,   Minister   for",8000
"Mr. Ali Bux Ansari, Cook, President Secretariat.",8000
"Mr.    Asad    Umar, Finance Minister",8000
"Mr.   Malik   Asif   Hayat, Secretary        to        the
President",8000
"Mr.   Abdul   Razak Dawood,    Advisor
to   Prime   Minister on Commerce",8000
"Mr.   Adeel   Ahmed   Khan,
Protocol Officer, Ministry of Foreign Affairs",8000
Mr.    Shafiq    Qureshi Reporter APP,8000
"Mr.   Bilal   Shaikh,   Staff Officer to the President",8000
"Mr.   Malik   Asif   Hayat,
Secretary        to        the President",8000
"Mr.    Muhammad    Akram Shaheedi,  Press  Secretary
to the Prime Minister",8000
"Mr.    Mushtaq    Ahmed,
Valet,               President Secretariat.",8000
"Mr.    khushnood    Akhtar Lashari,             Principal
Secretary  to  the  Prime Minister",8000
"Mr.    Muhammad    Azam Rathore,           Additional Secretary  (IPC),  Cabinet
Division.",8000
"Mr.   Adeel   Ahmed   Khan,
Protocol      Officer       M/o Foreign Affairs",8000
"Mr.    Musadaq    Kallem, Reporter, PTV",8000
"Mr.     Mukhtar     Ahmed, Security  Staff,  President Secretariat.",8000
"Mr.      Shahid      Ahmed, Cameraman, PTV",8000
"Mr.       Hamad       Kiani, Reporter, PBC.",8000
"Mr.      Abdul      Ghaffar, Engineer, PTV",8000
"Mr.       Afaq       Ahmed, Assistant,          President
Secretariat.",8000
"Mr.        Allay        Anees, Cameraman, APP",8000
"Mr.      Sartaj      Aziz, Advisor  to  the  Prime Minister   on   Foreign
Affairs",8000
"Mir  Zafarullah  Khan  Jamali,  Prime Minister of Pakistan",8000
"Mr.       Farukh       Amil, Additional        Secretary, Foreign Affairs",8000
"Mr.      Ashiq      Saleem,
Advance             Security Technical Team, IB",8000
"Mr.     Asif     Ali     Zardari, President of Pakistan,",8000
"L/NK     Saeed     Akhtar, Security  Staff,  President
Secretariat.",8000
"L/NK    Abdul    Rehman,
Security  Staff,  President Secretariat.",8000
"Maj.              Muhammad
Shakeel,  Staff  Officer  to the President",8000
"L/NK  Akbar  Ali,  Security Staff,                President
Secretariat.",8000
"Lt.  Col.  Baber  Mumtaz, CSO to the President",8000
"Makhdoom     Shah
Mehmood  Qureshi,",8000
"Maj.   Farhan   Ghazanfar
Ali   Malik,   ADC   to   the Prime Minister",8000
"Hav.   Muhammad   Jamil, Security  Staff,  President
Secretariat.",8000
"Constable  Sajid  Hussain, Security  Staff,  President
Secretariat.",8000
"Dr.       Asim       Hussain, Personal Physician to the
President",8000
"Deputy Chief of Protocol, M/o Foreign Affairs",8000
"Hav.    Muhammad    Arif,
Security  Staff,  President Secretariat.",8000
Dr.    Moeed    Yousaf SAPM    on    National security,8000
"Gp.     Capt.     Waqar
Ahmad,           Deputy Military   Secretary  to",8000
"Deputy Military Secretary to    the    President    of
Pakistan",8000
"Farhat      Ullah      Babar, Spokes   Person   to   the President of Pakistan.",8000
"Dr.        Arif        Alvi,",8000
Deputy        Chief        of Protocol(V-II),8000
"Brig. Nasir Dilawar Shah, Military  Secretary  to  the
Prime Minister",8000
Assistant W. Officer Tariq,8000
"Brig.       Akmal       Aziz, Military Secretary to the
Prime Minister",8000
"Assistant      Chief      of Protocol,    M/o    Foreign
Affairs",8000
"Brig.   Iftikhar   Mansoor, DG(S), President Sectt.",8000
"Begum     of     Prime Minister,               Mr.
Muhammad      Nawaz",7863
"General        Pervez         Musharraf,
President/     Chief     Executive     of Pakistan",7700
"Mr.      Ahmed      Waqar, Secretary Petroleum",7600
"Syed Yousaf Raza Gilani, Prime       Minister       of
Pakistan,",7500
"Mr.  Sikandar   Hayat   Khan Bosan,      Minister      Food, Agriculture and Livestock",7500
"Mr.         Moin-ul-Haque, Chief of Protocol",7500
Mr.     Muhammad     Saeed,7500
Mr.             Mamnoon,7500
"Mr.       Zahid       Hamid,
Minister   for   Science   & Technology",7500
"Dr.       Asim       Hussain, Minister  for  Petroleum  &",7500
"Chief       of       Protocol, Ministry of Foreign Affairs",7500
Captain Khalid Mahmood,7500
"Adviser to the Prime Minister  for  Finance, Revenue             and
Economic Affairs",7500
"Brig.                Mian
Muhammad       Hilal
Hussain,  MS  to  the President, MS (P)",7500
"Cdr  M.  Qasim  Janjua,  SI (M)",7500
"Wife of Mr. Khurshid M, Kasuri, Foreign Minister",7100
"Syed Ali Haider Gilani, Son of   Prime   Minister   Syed Yousaf Raza Gillani",7000
"Syed    Ahsan    Raza, Deputy      Chief      of
Protocol,          (DCP), Foreign Affairs",7000
"Special   Assistant   to   the   Prime Minister     for     National     Health
Services,          Regulation          & Coordination",7000
"Mr. Muhammad Ali Durrani,
Minister for Information and Broadcasting.",7000
"Mr.  Sikandar  Hayat  Khan Bosan,  Minister  for  Food
and Agriculture",7000
"Mr.    Shaukat    Fayaz Ahmed  Tarin  Minister for Finance, Economic Affairs and Statistics,",7000
"Mr.      Ahmed      Waqar, Secretary, Petroleum",7000
"Mr.          Muhammad Nawaz  Sharif,  Prime",7000
"Mr.     Ahmad     Waqar,
Secretary Petroleum and Natural Resources",7000
Maj.  Khurram  Shahzad Sahi P.A 37182,7000
"Minister            for
Finance,   Revenue & Economic Affairs",7000
"Mian      Muhammad Shehbaz        Sharif,
Chief          Minister, Punjab",7000
"Lt.    Col.    M    Suleman Khan,P.A-51318,",7000
"Brig.   Nauman   Anwar, Director,   Marketing    & Procurement, HIT",7000
Minister for Commerce,6800
"Mr.    Aftab    Ahmed Khan          Sherpao,
Minister for Water & Power",6700
"Brig. ®Mian Khalid Habib, Chief of Protocol, Foreign
Affairs",6700
Senator  Muhammad  Ishaq,6500
"Mr. Sajid Mehmood Qazi, Additional   Registrar   of Supreme Court",6500
Mr.  Ghulam  Murtaza  PTV engineer,6500
"Mr.      Bilawal      Bhutto Zardari,    son    of    Ex- President   of   Pakistan,
Mr. Asif Ali Zardari",6500
Mr.          Abdul          Rauf Cameraman PTV,6500
Mr.                   Hidaytullah Cameraman APP,6500
"Jehangir         Secretary, Secretary,     Board     of Investment",6500
Arshad   Ali   Photographer PID,6500
"Chief    of    Protocol, Foreign Affairs",6500
"Advisor       to       Prime Minister  on  Finance  and
Economic    Affairs    and Statistics",6500
"Brig.      Tahir      Mahmud Malik,  Military  Secretary
to the Prime Minister",6450
Auditor   General   of Pakistan,6300
"Waqar    Mehsood    Khan,
Secretary,         Economic Affairs Division",6200
The first lady of Pakistan wife of Dr. Arif Alvi,6000
"Syed     Ahsan     Raza Shah, Deputy Chief of Protocol, DCP, Foreign
Affairs",6000
"Protocol          Officer, Foreign Affairs",6000
Pak Army Official,6000
"Mr. Tasawar Khan, CP",6000
Mrs. Mariam,6000
"Mr.  Sartaj  Aziz,  Advisor
to the Prime Minister",6000
"Mr.     Mohsin     Hafeez, Secretary to President",6000
"Mr.                Hussain
Muhammad,
Deputy      Chief      of Protocol, MoFA",6000
Mr.      Kamal      Majidullah Special   Assistant   to   the Prime Minister,6000
"Deputy      Chief      of Protocol,         Foreign
Affairs",6000
"Brig.   Muhammad   Ayub Ahsan     Bahatti,      PA-
29056  GHQ",6000
"Brig.      Irfan      Azam, Military Secretary to the
Prime Minister",6000
"Admiral        Muhammad
Zakaullah, Naval Chief",6000
"Miss  Hina  Rabbani  Khar, Minister        of        State Economic Affairs Division",5900
"Mr. Ajaz Mohiuddin, Joint Secretary, Petroleum",5800
Minister   for   Information   &   Media Development,5800
"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs since long)",5706
"Sep.  Irfan  ul  Haq,  SSG, Gunman",5500
"Wife of Mr. Shahid
Khaqan Abbasi",5500
Sep.   Ajmal   Khan   SSG,5500
"Son   of   President   of Pakistan,              Mr. Mamnoon Hussain",5500
"President              of Pakistan,    Dr.    Arif Alvi",5500
"Raja   Hassan   Abbas, Cabinet Secretary",5500
