"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value",,,,"Retention
cost",retention_cost,,,Remarks,,,
271,"a. One        Gun        (FN HERSTAL)            with accessories and
b. One     Wrist     Watch Cartier","Mr.    Asif    Ali    Zardari, President of Pakistan",28/10/2011,"a. Rs.550,000/
b. Rs.1,065,000/-
Total :- Rs.1,615,000/-", Rs,"550,000",,"Rs.321,000/-",321000.00,-,,"Amount
deposited, gift retained",,,
29,One Rolex W/Watch Gents,"Mr.   Ahsan   Iqbal, Minister            for
Interior",06/03/2018,"Rs.1,550,000/-","1,550,000",,,"Rs.304,000/-",304000.00,-,,"Amount
deposited, gift retained",,,
26,"One            w/watch “Bvlgari” OC41SPO5205
(Black dial)","Brig Waseem Iftikhar Cheema,
Military  Secretary  to the Prime Minister",04/03/2020,"Rs.625,000/-","625,000",,,"Rs.297,500/-",297500.00,-,,"Amount
deposited, gift retained",,,
27,One            w/watch “Bvlgari” OC41SPO5028,"Rana   Akbar   Hayat, PSO   to   the   Prime Minister",04/03/2020,"Rs.625,000/-","625,000",,,"Rs.297,500/-",297500.00,-,,"Amount
deposited, gift retained",,,
29,One            w/watch “Bvlgari” OC41SPO5182,"Maj     Asad     Rashid Khan,  ADC  to  Prime Minister",04/03/2020,"Rs. 625,000/-","625,000",,,"Rs. 297,500/-",297500.00,-,,"Amount
deposited, gift retained",,,
42,One            w/watch Bvlgari,Ambassador      Syed Ahsan Raza Shah,08/09/2020,"Rs. 625,000/-","625,000",,,"Rs.297,500/-",297500.00,-,,"Amount
deposited, gift retained",,,
129,"One       W/Watch       (Rolex) (M126331-0014, 2G367435)","Prime   Minister   of Pakistan,          Mr.
Imran Khan",22/10/2018,"Rs.1,500,000/-","1,500,000",,,"Rs.294,000/-",294000.00,-,,"Amount
deposited, gift retained",,,
68,One     W/Watch     (Vacheron Constantin X49A6955),"Mr.     M.     Nabeel
Afzal  Bajwa,  PSO to Prime Minister",17/04/2018,"Rs.1,500,000/-","1,500,000",,,"Rs.294,000/-",294000.00,-,,"Amount
deposited, gift retained",,,
103,"One W/Watch (Rolex) Oyster SWIMPRUF  3024C4J5,  Rolex SA","Mr.    Manzoor    ul Haq, Member, KPK Public         Service Commission Peshawar,   former Ambassador       to
KSA",14/09/2018,"Rs.1,500,000/-","1,500,000",,,"Rs.294,000/-",294000.00,-,,"Amount
deposited, gift retained",,,
28,One Cartier W/Watch,Mr.   Haroon   Sharif M/o state,24/01/2019,"Rs.600,000/-","600,000",,,"Rs.285,000/-",285000.00,-,,"Amount
deposited, gift retained",,,
24,One Golden Rifle,"Mr.         Muhammad Saddiq       Sanjrani,
Chairman Senate,",15/01/2019,"Rs.600,000/-","600,000",,,"Rs.285,000/-",285000.00,-,,"Amount
deposited, gift retained",,,
46,One      W/Watch      (CR- WSNMOO4) Gents,"Makhdoom        shah
Mahmood     Hussain Qureshi",29/01/2019,"Rs.600,000/-","600,000",,,"Rs.285,000/-",285000.00,-,,"Amount
deposited, gift retained",,,
56,One  W/Watch  Cartier  CR 3930WSNM004,"Syed            Zulfiqar Bukhari, SAPM",31/01/2019,"Rs.600,000/-","600,000",,,"Rs.285,000/-",285000.00,-,,"Amount
deposited, gift retained",,,
57,"One  Gun  AK-47  bearing
No.7C1688 along with 40 rounds","Dr.       Arif       Alvi, President of Pakistan",31/01/2019,"Rs.600,000/-","600,000",,,"Rs.285,000/-",285000.00,-,,"Amount
deposited, gift retained",,,
58,One W/Watch Cartier,"Mr.  Ghulam  Sarwar Khan,   Minister   for Energy",07/02/2019,"Rs.600,000/-","600,000",,,"Rs.285,000/-",285000.00,-,,"Amount
deposited, gift retained",,,
267,"a. One  Model  of  Hijr-e Aswad
b. One     Wrist     Watch Chopard           (Moon Phase) (Auto)(No.1607515)
c. One Pair of Cufflinks
d. One Ball Point in Gold & Diamond
e. One Tasbih  in  Gold  & Diamond
f.  One Dagger in Gold & Diamond","Syed Yousaf Raza Gillani, Prime       Minister       of Pakistan",17/10/2011,"a. NCV
b. Rs.600,000/-
c. Rs.75,000/-
d. Rs.300,000/-
e. Rs.225,000/-
f. Rs.700,000/-
Total
Rs.1900,000/-", NCV,,,"Rs.283,500/-",283500.00,-,,"Amount
deposited, gift retained",,,
5,"a.  One   wrist   watch Rolex (No.118208)
b.   One Table Clock
c.  One   Wrist   Watch Rolex (No.179138)","Mr. Shaukat Aziz, Prime Minister of Pakistan",07/01/2006,"a.  Rs.928,000/-
b.  Rs.40,000/-
c.  Rs.885,000/-",  Rs,"928,000",,"Rs.276,450/-",276450.00,-,,"Amount
deposited, gift retained",,,
125,"One       W/Watch       (Rolex) No.M126334-0020,
YD488258","Lt.    Col.    Moeen Iqbal   Khan,   DMS
to Prime Minister",04/10/2018,"Rs.1,400,000/-","1,400,000",,,"Rs.274,000/-",274000.00,-,,"Amount
deposited, gift retained",,,
84,"a.  One Carpet
b.  One Blanket/ Quilt
c.  One   Leather   Hand Bag    (The    Bridge) alongwith  Book  and Pen
d.  One   I-Pad   (AyTab 10.1)
e.  One box having Two Coins
(i)  One  Silver  Coin (28.90          grams) Approx.
(ii)  One  Gold  Coin (40.01gram) Approx.
f.   Two Bed Sheets
g. Two Towels: -
(i) One small
(ii) One Large
h. One Souvenir","Dr. Arif Alvi, President of Pakistan",07/12/2021,"a.  Rs.40,000/-
b.  Rs.8,000/-
c.  Rs.15,000/-
d.  Rs.50,000/-
e.
(i) Rs.3,500/-
(ii) Rs.425,350/-
f.   Rs.2,000/-
g.
(i) Rs.800/-
(ii) Rs.1,000/-
h.  Rs.12000/-
Total: Rs.557,650/-",  Rs,"40,000",,"Rs.263,825/-",263825.00,-,,"Amount
deposited, gift retained",,,
185,One     Cartier     W/watch model w7100056,"SAPM   on   Overseas Pakistanis   &   HRD,
Syed            Zulfiqar Bukhari",23/12/2019,"Rs. 550,000/-","550,000",,,"Rs.260,000/-",260000.00,-,,"Amount
deposited, gift retained",,,
98,"One  W/Watch  (Hublot)
(1096355 “Big Bang”).","SP        Rana        Shoaib Mehmood,  CSO  to  the
Prime Minister.",28/11/2017,"Rs.1,300,000/-","1,300,000",,,"Rs.254,000/-",254000.00,-,,"Amount
deposited, gift retained",,,
69,One       W/Watch       (Rolex) (83245513),"SP   Rana   Shoaib Mehmood,     Chief Security  Officer  to
Prime Minister",17/04/2018,"Rs.1,300,000/-","1,300,000",,,"Rs.254,000/-",254000.00,-,,"Amount
deposited, gift retained",,,
73,One W/Watch (Rolex),"Sahebzada         A. Khan,     Additional Secretary   /   Chief
of  State  Protocol,",27/04/2018,"Rs.1,300,000/-","1,300,000",,,"Rs.254,000/-",254000.00,-,,"Amount
deposited, gift retained",,,
151,a)  One     Ladies     W/Watch,Mr.             Pervez,26/11/2018,"a)  Rs.400,000/-","400,000",,,"Rs.254,000/-",254000.00,-,,"Amount
deposited, gift retained",,,
115,"a.  One    wrist    watch Rolex    (small    red box)
b.  One    wrist    watch Rolex (Blue box)
c.  One    Jewelry    box
containing necklace)","First  lady,  wife  of  Gen Parvez            Musharaf, President of Pakistan",06/04/2006,"a.  Rs. 9,00,000/-
b.  Rs.700,000/-
c.  Rs.54,800/-",  Rs," 9,00,000",,"Rs.246,720/-",246720.00,-,,"Amount
deposited, gift retained",,,
21,"a.  One    jewelry    set (i.e. one Versailles) one          Necklace,
bracelet,   ring   and","Gen   Parvez   Musharaf, President of Pakistan",20/01/2006,"a.  Rs.594,200/-
b.  Rs.750,000/-",  Rs,"594,200",,"Rs.245,682/-",245682.00,-,,"Amount
deposited, gift retained",,,
86,One  W/Watch  (Rolex) (No.6EP49140- M116333-0002).,"Maj.  Nasir  Barkatullah, Assistant           Security
Officer    to    the    Prime Minister",17/10/2017,"Rs.1,250,000/-","1,250,000",,,"Rs.244,000/-",244000.00,-,,"Amount
deposited, gift retained",,,
40,"One  Jewellery  Set  in 18kt     White     Gold, Diamonds  and  Rubies containing: -
a.  One Necklace
b.  One Bracelet
c.  One   Pair   of   Ear","Mr. Shaukat Aziz, Prime Minister of Pakistan",05/02/2006,"a.  Rs.1,040,870/
-
b.  Rs.264,730/-
c.  Rs.254,750/-
d.  Rs.73,650/-",  Rs,"1,040,870",,"Rs.243,600/-",243600.00,-,,"Amount
deposited, gift retained",,,
55,"(a)One    Rolex    W/ Watch           Oyster Perpetual   N   Series 0835D018
(b)One      Pair      of Cufflinks   with   Pen Cartier.
(c)Four             (04) commemorative
coins  of  the  Central bank of Kuwait","Mr.  Muhammad   Nawaz Sharif, Prime Minister of Pakistan",12/11/2013,"(a)Rs.1,185,000/-
(b)Rs.25,000/-
(c)Rs.15,000/-","1,185,000",,,"Rs.243,000/-",243000.00,-,,"Amount
deposited, gift retained",,,
3,"(a)One  Wrist  Watch (PIAGET
No.1124198-P10771)","Mr.          Muhammad Nawaz  Sharif,  Prime Minister of Pakistan",12/01/2015,"(a)Rs.1,050,000/-","1,050,000",,,"Rs.240,000/-",240000.00,-,,"Amount
deposited, gift retained",,,
108,"a)  One W/Watch (Chopard)
b)  Pair of Cufflinks
c)  One Ball Pen (Chopard)
d)  One Ring (Chopard)","Mr.      Muhammad Ali,  PSO  to  Prime Minister",24/09/2018,"a)  Rs.750,000/-
b)  Rs.110,000/-
c)  Rs.80,000/-
d)  Rs.90,000/-","750,000",,,"Rs.240,000/-",240000.00,-,,"Amount
deposited, gift retained",,,
96,"A  box  containing  one W/Watch   (Parmigiani) (N21743),","Brig.   Waseem   Iftikhar Cheema,             Military Secretary  to  the  Prime",28/11/2017,"Rs.1,150,000/-","1,150,000",,,"Rs.224,000/-",224000.00,-,,"Amount
deposited, gift retained",,,
30,"One  Jewellary  Set  in 18Kt   gold   Diamond and Ruby i.e.
a.  One Necklace
b.  One Bracelet
c.  One   Pair   of   Ear Rings
d.  One Ring)
e.  One     Rifle     with accessories","President      of      Pakistan, General Pervaiz Musharraf",31/01/2007,"a.  Rs.717,600/-
b.  Rs.301,100/-
c.  Rs.208,400/-
d.  Rs.53,240/-
e.  Rs.200,000/-",  Rs,"717,600",,"Rs.220,551/",220551.00,,,"Amount
deposited, gift retained",,,
91,"a. One    Wrist    watch GRAFF (No.GS45DBPGW)
(Hand         Winding Clasp)   (18kt   gold with           diamond Crown)
b. one model of eagle,
c. One  box  containing perfumes (12 nos)
d. one book, six coin & two  currency  notes
of Kuwait two dinar","Raja  Pervez  Ashraf,  Prime Minister of Pakistan",05/11/2012,"a.  Rs.890,000/-
b.  Rs.50,000/-
c.  Rs.150,000/-
d.  Rs.10,000/-
Total :- Rs.1,100,000/-",  Rs,"890,000",,"Rs.218,000/-",218000.00,-,,"Amount
deposited, gift retained",,,
66,"(a)    One    Necklace (Gold+ Diamond)
(b)  Pair  of  ear  ring (Gold + Diamond)
(c) One ring (Gold +","First lady of Pakistan, wife  of  Mr.  Mamnoon Hussain",15/05/2015,"(a)Rs. 751,000/-
(b)Rs. 246,660/-
(c)Rs. 94,750/-","751,000",,,"Rs. 216,482/-",216482.00,-,,"Amount
deposited, gift retained",,,
9,"Vacheron      Constatin Wrist                 Watch
(No.86050-154733)","Syed  Yousaf  Raza  Gilani, Prime Minister of Pakistan",14/02/2012,"Rs. 1,050,000/-","1,050,000",,,"Rs.208,000/-",208000.00,-,,"Amount
deposited, gift retained",,,
22,"a)  One           Necklace (Diamond)
b)  One Table Watch","Mr.  Muhammad  Nawaz Sharif, Prime Minister of
Pakistan",24/03/2017,"a)  Rs.1,007,800/-
b)  Rs.40,000/-","1,007,800",,,"Rs.207,560/-",207560.00,-,,"Amount
deposited, gift retained",,,
101,One  W/Watch  (Rolex) (Q56011X2),"Flt. Lt. Aman Ullah, ADC to the Prime Minister",28/11/2017,"Rs.1,050,000/-","1,050,000",,,"Rs.204,000/-",204000.00,-,,"Amount
deposited, gift retained",,,
111,One  W/Watch  (Rolex) (M116333-0006),"Mr.      Ammar      Amin, Deputy Chief of Protocol
(V-II)",08/12/2017,"Rs.1,050,000/-","1,050,000",,,"Rs.204,000/-",204000.00,-,,"Amount
deposited, gift retained",,,
356,One wrist watch Rolex (No.118239),"Mr.   Shaukat   Aziz,   Prime Minister of Pakistan",27/09/2007,"Rs.1,350,000/-","1,350,000",,,"Rs.201,000/-",201000.00,-,,"Amount
deposited, gift retained",,,
195,One wrist watch Rolex (No.118338-83208),"Mr. Shaukat Aziz, Prime Minister of Pakistan",02/06/2006,"Rs.1,350,000/-","1,350,000",,,"Rs.201,000/-",201000.00,-,,"Amount
deposited, gift retained",,,
26,"One     Wrist     Watch (Rolex)              (No.
GO27774)","Syed   Tariq   Fatemi, SAPM     on     Foreign
Affairs",26/01/2015,"Rs.990,000/-","990,000",,,"Rs.196,000/-",196000.00,-,,"Amount
deposited, gift retained",,,
42,One  W/Watch  (Rolex) (ZC527923) Oyster M,"Mr.  Sartaj  Aziz,  Advisor
to the Prime Minister on Foreign Affairs",25/05/2017,"Rs.980,000/-","980,000",,,"Rs.194,000/-",194000.00,-,,"Amount
deposited, gift retained",,,
45,"One W/Watch (Rolex) (No. CQ510174/
M116681)","Brig.  Akmal  Aziz,  MS  to the Prime Minister",26/05/2017,"Rs.980,000/-","980,000",,,"Rs.194,000/-",194000.00,-,,"Amount
deposited, gift retained",,,
47,"One   W/Watch   (Rolex Yacht           Master-II-
T79189KO)","Vice  Admiral  (R)  Khan Hasham   Bin   Saddique,
Ambassador",01/06/2017,"Rs.980,000/-","980,000",,,"Rs.194,000/-",194000.00,-,,"Amount
deposited, gift retained",,,
48,"One   W/Watch   (Rolex
Oyster           Perpetual No.116681)","Mr.  Ishaq  Dar,  Finance Minister",06/06/2017,"Rs.980,000/-","980,000",,,"Rs.194,000/-",194000.00,-,,"Amount
deposited, gift retained",,,
44,"One  W/Watch  (Rolex)
(No.223N64H5/","Mr.       Fawad       Hasan
Fawad, Secretary to the",26/05/2017,"Rs.980,000/-","980,000",,,"Rs.194,000/-",194000.00,-,,"Amount
deposited, gift retained",,,
77,"a. One box containing:
-
i)  Oud Wood
ii)  Two  Bottles  of  Oud (Oil)  (Taif  Rose  Bride Rate)
iii) Three Choghas","Mr.  Imran  Khan,  Prime Minister of Pakistan",11/11/2021,"a.
i) Rs.250,000/-
ii) Rs.18,000/-
(per bottle)
iii) Rs.3,000/-
(each)
b.",,,,"Rs.193,000/-",193000.00,-,,"Amount
deposited, gift retained",,,
146,"a.  One    Wrist    Watch (Corum),
b.  One  Model  of  Coin (White      &      Gold
Plated)         (Central Bank of Kuwait),
c.  One       Model       of (Silver)             Coin (Central    Bank    of Kuwait)","Mr.    Asif    Ali    Zardari, President of Pakistan",13/06/2011,"a. Rs.1,250,000/-
b. Rs.14,617/-
c. Rs.6,837/-
Total: Rs.1,271,454/-", Rs,"1,250,000",,"Rs.189,219/-",189219.00,-,,"Amount
deposited, gift retained",,,
17,"A  box  containing  one W/Watch          (Rolex)
(USX90093) and a pair",Mr.     Hussain     Nawaz Sharif,09/03/2017,"Rs.940,000/-","940,000",,,"Rs.186,000/-",186000.00,-,,"Amount
deposited, gift retained",,,
25,"a)  One Table Clock
b)  One Small Carpet
c)  One Pen
d)  One Book","Mr. Shahid Khaqan Abbasi,         Prime
Minister             of
Pakistan",01/03/2018,"a)  Rs.900,000/-
b)  Rs.30,000/-
c)  Rs.10,000/-
d)  NCV","900,000",,,"Rs.182,000/-",182000.00,-,,"Amount
deposited, gift retained",,,
189,One  W/watch  Frederique constant              Geneve (No.FC.380NT4H4),"Brig            Waseem Iftikhar Cheema, MS to the Prime Minister",24/12/2019,"Rs. 390,000/-","390,000",,,"Rs.180,000/-",180000.00,-,,"Amount
deposited, gift retained",,,
32,One            w/watch “Bvlgari” BB41SPO1098,"Constable        Toufiq
Ahmad,            Police Gunman",04/03/2020,"Rs.387,500/-","387,500",,,"Rs.178,750/-",178750.00,-,,"Amount
deposited, gift retained",,,
24,"One      W/Watch      (Officine
Panerai) Luminor Marina (S.No.OP6846BB1546437)","Sahebzada  Ahmed
Khan, AS / Chief of Protocol, MoFA",26/02/2018,"Rs.900,000/-","900,000",,,"Rs.174,000/-",174000.00,-,,"Amount
deposited, gift retained",,,
87,One  W/Watch  (Rolex) (No.56K3U142- M116300-0003).,"Constable    Syed    Faqir Shah, Police Gunman.",17/10/2017,"Rs.900,000/-","900,000",,,"Rs.174,000/-",174000.00,-,,"Amount
deposited, gift retained",,,
7,"One     Wrist     Watch
(Rolex)       (No.2HZ) (116234)","Brig.  Akmal  Aziz,  MS to the Prime Minister",13/01/2015,"Rs.850,000/-","850,000",,,"Rs.168,000/-",168000.00,-,,"Amount
deposited, gift retained",,,
6,"One     Wrist     Watch (Rolex)  (No.116234)
(Diamond Dial)","Mr.     Fawad     Hasan Fawad, AS, PM Office",12/01/2015,"Rs.850,000/-","850,000",,,"Rs.168,000/-",168000.00,-,,"Amount
deposited, gift retained",,,
8,"One     Wrist     Watch (Rolex)    (No.    200)
(116234)","Mr.    Nabeel    Awan, PSO   to   the   Prime
Minister",13/01/2015,"Rs.850,000/-","850,000",,,"Rs.168,000/-",168000.00,-,,"Amount
deposited, gift retained",,,
43,"One     Wrist     Watch (ladies)            Rolex
(No.116244)","Wife    of    Mr.    Aizaz Ahmed       Chaudhry,
Foreign Secretary",06/04/2015,"Rs.850,000/-","850,000",,,"Rs.168,000/-",168000.00,-,,"Amount
deposited, gift retained",,,
40,One     Wrist     Watch Rolex           Datejust (No.116244),"Wife   of   Mr.   Shahid Khaqan          Abbasi, Minister  of  Petroleum
& Natural Resources",06/04/2015,"Rs.850,000/-","850,000",,,"Rs.168,000/-",168000.00,-,,"Amount
deposited, gift retained",,,
99,One W/Watch (Rolex) (76ZH6383),"Mr.  Irfan  Qazi,  PRO  to the Prime Minister",28/11/2017,"Rs.850,000/-","850,000",,,"Rs.164,000/-",164000.00,-,,"Amount
deposited, gift retained",,,
102,One   W/Watch   (Rolex 107R6248),"Raja             Muhammad
Shahzad,           Protocol Assistant.",28/11/2017,"Rs.850,000/-","850,000",,,"Rs.164,000/-",164000.00,-,,"Amount
deposited, gift retained",,,
100,One  W/Watch  (Rolex) (3M0Y6222),"SP Akhtar Farooq, SO to the Prime Minister.",28/11/2017,"Rs.850,000/-","850,000",,,"Rs.164,000/-",164000.00,-,,"Amount
deposited, gift retained",,,
69,"a. One  I-Pad  with  Key Board,  Data  Cable  &","Mr.    Asif    Ali    Zardari, President of Pakistan",11/03/2011,"a. Rs.45,000/
b. Rs.7,500/-", Rs,"45,000",,"Rs.158,250/-",158250.00,-,,"Amount
deposited, gift retained",,,
246,"a.  One    table    clock
“Chelsea”
b.  One model of boat
c.  One leather bag
d.  Six neck ties
e.  One    wrist    watch Piaget  No.  P10300-
933105","Mr. Shaukat Aziz, Prime Minister of Pakistan",15/07/2006,"a.  Rs.18,000/-
b.  Rs.10,500/-
c.  Rs.45,000/-
d.  Rs.18,000/-
e.  Rs.950,000/-",  Rs,"18,000",,"Rs.154,725/-",154725.00,-,,"Amount
deposited, gift retained",,,
28,"One     Rolex     Wrist watch    Ref    Montre 116201            Oyster
Perpetual","Mr.   Moin-ul-Haq,   Chief of  Protocol,  Ministry  of Foreign Affairs",20/03/2014,"Rs.775,000/-","775,000",,,"Rs.153,000/-",153000.00,-,,"Amount
deposited, gift retained",,,
114,"a.  Mosque model
b.  Silk Carpet
c.  Mosque scenery","Mr.       Abdul       Razzaq Dawood,  Advisor  to  the
Prime       Minister       on Commerce & Investment",23/12/2021,"a.  Rs.25,000/-
b.  Rs.300,000/-
c.  Rs.5,000/-",  Rs,"25,000",,"Rs.150,000/-",150000.00,-,,"Amount
deposited, gift retained",,,
30,One Rolex W/Watch Ladies,"Wife     of     Ahsan Iqbal,        Interior
Minister",06/03/2018,"Rs.775,000/-","775,000",,,"Rs.149,000/-",149000.00,-,,"Amount
deposited, gift retained",,,
94,One W/Watch (Rolex),"Syed Tariq Fatemi, SAPM on Foreign Affairs",05/05/2016,"Rs.750,000/-","750,000",,,"Rs.148,000/-",148000.00,-,,"Amount
deposited, gift retained",,,
22,"One    W/Watch    Rolex Black                   Index
W5UM02636","Mr.  Ishaq  Dar,  Finance Minister",16/02/2016,"Rs.750,000/-","750,000",,,"Rs.148,000/-",148000.00,-,,"Amount
deposited, gift retained",,,
21,One    Rolex    W/Watch Oyster    Perpetual-GMT Master II,"Mr.     Shahid     Khaqan Abbasi, Federal Minister
for Petroleum & Natural Resources",15/02/2016,"Rs.750,000/-","750,000",,,"Rs.148,000/-",148000.00,-,,"Amount
deposited, gift retained",,,
29,"One     wrist     watch “Bovet              1822” (No.011457)
(automatic)","Mr.   Muhammad   Nawaz Sharif, Prime Minister of Pakistan",20/03/2014,"Rs.750,000/-","750,000",,,"Rs.148,000/-",148000.00,-,,"Amount
deposited, gift retained",,,
229,"a.  A silver Tea set (two tea  pots,  one  sugar pot & one milk pot)
b.  One     Wrist     watch Gautier
c.  One    Wrist    Watch Elaga
d.  One Necklace
e.  One Pair of Earrings","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",11/01/2005,"a.  Rs.15,000/-
b.  Rs.16,500/-
c.  Rs.735,000/-
d.  Rs.18,900/-
e.  Rs.197,000/-",  Rs,"15,000",,"Rs.145,860/-",145860.00,-,,"Amount
deposited, gift retained",,,
66,"a.  One                box
containing: -
(i)  Two  bottles  of liquid Oud
(ii)    Oud    Wood Approx 2 kg
b.  One Book
c.  One                box
containing: -
(i)  Three  Packets of dates","Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",12/05/2022,"a.
(i) Rs.30,000/-
(each)
(ii) Rs.225,000/-
b.  NCV
c.
(i) Rs.1,000/-
(each)
(ii) Rs.2,000/-",,,,"Rs.145,500/-",145500.00,-,,"Amount
deposited, gift retained",,,
274,One  Wrist  Watch  Rolex (No.116233),"Capt.  (PN).  Amir  Saeed,
Deputy Military Secretary (DMS) to the President",28/10/2011,"Rs.725,000/-","725,000",,,"Rs.143,000/-",143000.00,-,,"Amount
deposited, gift retained",,,
273,One  Wrist  Watch  Rolex (No.116233),"Brig.   Syed   M.   Adnan, Military  Secretary  to  the
President",28/10/2011,"Rs.725,000/-","725,000",,,"Rs.143,000/-",143000.00,-,,"Amount
deposited, gift retained",,,
336,"a.  A wrist watch Olysse Nardin       automatic white      gold      and diamond
b.  One  Jewelry  set  i.e. Pair   of   earnings   +
Cufflinks   in   gold   & Diamonds","General Pervez Musharaf, President of Pakistan",22/06/2005,"a.  Rs.750,000/-
b.  Rs.157,200/-",  Rs,"750,000",,"Rs.134,580/-",134580.00,-,,"Amount
deposited, gift retained",,,
144,"(a)One   iPad   Air   Wifi 64GB Space Gray Model A1567.
(b)One W/Watch (Rolex
Oyster          SWIMPRUF 0N889927)","Admiral       Muhammad Zakaullah,     Chief     of Naval Staff",06/12/2016,"(a)Rs.50,000/-
(b)Rs.630,000/-","50,000",,,"Rs.134,000/-",134000.00,-,,"Amount
deposited, gift retained",,,
25,"a.          One          box containing: -
i.  Oud wood
ii. Two bottles of oud
iii. Two chogas
b.          One          box containing: -
(i).   Three   packets   of dates
(ii)   Three   bottles   of honey
(iii)   Three   bottles   of olive oil
(iv)  Three  packets  of coffee
c.          One          box containing: -
One    book    (craft    of kingdom)","Mr.  Imran  Khan,  Prime Minister of Pakistan",18/05/2021,"a.
(i, ii & iii) Rs.254,000/-
b.
(i, ii, iii & iv) Rs.42,000/-
c.Rs.500/-",,,,"Rs.133,250/-",133250.00,-,,"Amount
deposited, gift retained",,,
33,"One     wrist     watch, Vacheron Constantine","Mr.   Muhammad   Ishaq Dar, Finance Minister",24/03/2014,"Rs.660,000/-","660,000",,,"Rs.130,000/-",130000.00,-,,"Amount
deposited, gift retained",,,
75,One      Wrist      watch Jeager     Le     Coultre (Master  Grande  Ultra thin)      (18kt      gold approx),"Nawabzada    Malik    Amad Khan,  Minister  for  State, Foreign Affairs",19/10/2012,"Rs.650,000/-","650,000",,,"Rs.128,000/-",128000.00,-,,"Amount
deposited, gift retained",,,
